,Unnamed: 0,name,id,top_kpop,genre,followers,name_lower
291,637,ZICO,4XpUIb8uuNlIWVKmgKZXC0,1,"['k-pop', 'k-rap', 'korean r&b']",1279062,zico
46,88, Zion.T,5HenzRvMtSrgtvU16XAoby,0,"['k-pop', 'k-rap', 'korean r&b']",562510,zion.t
502,1102, Zior Park,4gkSpcyfxtm5OFoZCYWTeD,0,[],29324,zior park
158,323, Zoorumpug,4hYxfPWn0RnlwJS2faYvjB,0,['korean city pop'],638,zoorumpug
271,582, 朴宰範,2VrDFxXbEHomf7A8Q87uRA,0,[],16,朴宰範
454,1009, 건지,79xtZ56bsMOQwiTe5Ob1jD,0,[],66,건지
485,1069, 김화영,1pEirsoHYEMB0rxhzNkXeU,0,[],0,김화영
410,885, 리지,45hd8opei1aSAIMNfJccfK,0,[],48,리지
22,41, 매니저,6D0QAIqxtLK7aeiQzdvQUb,0,[],16,매니저
187,401, 백찬,3b84FwOBHtfdyimyNJ1i59,0,[],6,백찬
238,501, 빅톤,5O0XmPyzOOTKMWEpwpMbJU,0,[],3,빅톤
318,707,신종욱,3cxWvvIqZGNyWsgmdi0wsf,0,[],7,신종욱
197,428, 아이린,1KI2jxgNu5JCizqylCSFj5,0,[],5,아이린
302,655, 오현우,1PQQMG99o0K7BBYAwVpTqf,0,[],43,오현우
414,891, 이건,3CeAc3273SCbu4WQHeCorc,0,[],9,이건
196,427, 이로울,2vArxtLc9TRXTiwfKNX2RK,0,[],2,이로울
332,739, 이준기,0Fi1eTFqrg9XXYFPWwx2aw,0,[],266,이준기
481,1059, 이현,5Lz362V3wxefNeMeCFeVMm,0,[],0,이현
327,728, 인크레더블,0YhDHW8UkDzlw6ZNJtZZXk,0,[],133,인크레더블
452,1004, 젓가락형제,0tCF3alKq0KqzEn0iaEqIP,0,[],26,젓가락형제
171,367, 정일훈,61EYHe0PuimYflGWAJaptk,0,[],0,정일훈
104,192, 조PD,0XJH7kCmbiKeYfAFSHpYuN,0,[],25,조pd
457,1015, 초신성,0buWcDodnGf3u36oAQPHzW,0,[],155,초신성
323,720, 최현석,7ywGEr53ogVxLibBcb82JV,0,[],888,최현석
317,705, 트리키,7fCSy7Had5Fs540ilzxV20,0,[],103,트리키
206,445, 한겨울,1WLp3CeL7X1Ic7DTu67CCP,0,[],0,한겨울
343,754, 혜미,76yPSQzTmeCY5fCsrMFoSw,0,[],2,혜미
259,561, ＦＰＭ,0TGGLJ8adXSsX0v9bNCEAa,0,[],10,ｆｐｍ
